Start,End,Rows,From,To,Energi_Værdi_First,Sum,DataAvg,DataAvgW
2022-03-09T23:00:00,2022-03-10T00:00:00,1,2022-03-09T23:59:39,2022-03-10T01:00:33,34.515,0.00005172413793103644,0.00005172413793103644,0.00005172413793103644
2022-03-10T00:00:00,2022-03-10T01:00:00,1,2022-03-09T23:59:39,2022-03-10T01:00:33,34.515,0.008866995073891961,0.008866995073891961,0.008866995073891961
2022-03-10T01:00:00,2022-03-10T02:00:00,2,2022-03-09T23:59:39,2022-03-10T02:00:58,34.515,0.006969280788175274,0.003484640394087637,0.006825605073889575
2022-03-10T02:00:00,2022-03-10T03:00:00,2,2022-03-10T01:00:33,2022-03-10T03:20:24,34.524,0.009030170373479113,0.004515085186739556,0.008776293184128649
2022-03-10T03:00:00,2022-03-10T04:00:00,2,2022-03-10T02:00:58,2022-03-10T04:01:00,34.531,0.007958676917164198,0.003979338458582099,0.004266541284841552
2022-03-10T04:00:00,2022-03-10T05:00:00,2,2022-03-10T03:20:24,2022-03-10T05:20:48,34.543,0.006777288047705786,0.003388644023852893,0.00654528562786301
2022-03-10T05:00:00,2022-03-10T06:00:00,2,2022-03-10T04:01:00,2022-03-10T06:00:34,34.548,0.010231866338095788,0.005115933169047894,0.00596542084464862
2022-03-10T06:00:00,2022-03-10T07:00:00,2,2022-03-10T05:20:48,2022-03-10T07:00:41,34.557,0.010000330455524682,0.005000165227762341,0.009794037868224524
2022-03-10T07:00:00,2022-03-10T08:00:00,2,2022-03-10T06:00:34,2022-03-10T08:26:09,34.565,0.029263043843069613,0.014631521921534807,0.028818691521594334
2022-03-10T08:00:00,2022-03-10T09:00:00,2,2022-03-10T07:00:41,2022-03-10T09:22:03,34.575,0.0255670819856038,0.0127835409928019,0.012774932003675032
2022-03-10T09:00:00,2022-03-10T10:00:00,2,2022-03-10T08:26:09,2022-03-10T10:01:53,34.617,0.022574337018436343,0.011287168509218171,0.012083129523731565
2022-03-10T10:00:00,2022-03-10T11:00:00,2,2022-03-10T09:22:03,2022-03-10T11:01:16,34.638,0.017346589247698666,0.008673294623849333,0.01613741637948316
2022-03-10T11:00:00,2022-03-10T12:00:00,3,2022-03-10T10:01:53,2022-03-10T12:52:22,34.653,0.016833785460205936,0.005611261820068645,0.012110873233956945
2022-03-10T12:00:00,2022-03-10T13:00:00,2,2022-03-10T11:51:40,2022-03-10T13:56:59,34.684,0.018245879577911336,0.009122939788955668,0.013898887057449103
2022-03-10T13:00:00,2022-03-10T14:00:00,2,2022-03-10T12:52:22,2022-03-10T14:57:38,34.702,0.020929556945604617,0.010464778472802309,0.019295678968731092
2022-03-10T14:00:00,2022-03-10T15:00:00,2,2022-03-10T13:56:59,2022-03-10T16:02:01,34.725,0.012941537719089166,0.006470768859544583,0.011889320045026502
2022-03-10T15:00:00,2022-03-10T16:00:00,1,2022-03-10T14:57:38,2022-03-10T16:02:01,34.738,0.01491069117266209,0.01491069117266209,0.01491069117266209
2022-03-10T16:00:00,2022-03-10T17:00:00,2,2022-03-10T14:57:38,2022-03-10T17:21:01,34.738,0.008574793589732975,0.0042873967948664875,0.007819109770012187
2022-03-10T17:00:00,2022-03-10T18:00:00,2,2022-03-10T16:02:01,2022-03-10T18:13:05,34.754,0.005921249669091503,0.0029606248345457513,0.002970881862767231
2022-03-10T18:00:00,2022-03-10T19:00:00,3,2022-03-10T17:21:01,2022-03-10T19:47:18,34.765,0.003115101272327569,0.0010383670907758563,0.0017263606352692247
2022-03-10T19:00:00,2022-03-10T20:00:00,2,2022-03-10T18:58:12,2022-03-10T21:08:03,34.771,0.0039909491591682165,0.0019954745795841083,0.002511329316762631
2022-03-10T20:00:00,2022-03-10T21:00:00,1,2022-03-10T19:47:18,2022-03-10T21:08:03,34.774,0.005201238390091316,0.005201238390091316,0.005201238390091316
2022-03-10T21:00:00,2022-03-10T22:00:00,3,2022-03-10T19:47:18,2022-03-10T23:21:00,34.774,0.006146266237701605,0.0020487554125672015,0.0026582407854985014
2022-03-10T22:00:00,2022-03-10T23:00:00,1,2022-03-10T21:38:52,2022-03-10T23:21:00,34.785,0.004112271540472913,0.004112271540472913,0.004112271540472913
2022-03-10T23:00:00,2022-03-11T00:00:00,1,2022-03-10T21:38:52,2022-03-10T23:21:00,34.785,0.0014392950391655193,0.0014392950391655193,0.0014392950391655193
