Installation,Målernummer,Energiartskode,Aflæst,GældendeFra,Note,Energi_Værdi,Energi_Enhed,Energi_Type,Volumen_Værdi,Volumen_Enhed,Volumen_Type,Timer_Værdi,Timer_Enhed,Timer_Type,Fremløb_Værdi,Fremløb_Enhed,Fremløb_Type,Returløb_Værdi,Returløb_Enhed,Returløb_Type
,65674941,,2022-03-09T23:59:39,,,34.515,mwh,1,1161.443,m3,1,21808,h,1,69,c,3,44.8,c,3
,65674941,,2022-03-10T01:00:33,,,34.524,mwh,1,1161.708,m3,1,21809,h,1,69.1,c,3,39.6,c,3
,65674941,,2022-03-10T02:00:58,,,34.531,mwh,1,1161.964,m3,1,21810,h,1,69,c,3,40.6,c,3
,65674941,,2022-03-10T03:20:24,,,34.543,mwh,1,1162.33,m3,1,21811,h,1,70.7,c,3,43,c,3
,65674941,,2022-03-10T04:01:00,,,34.548,mwh,1,1162.472,m3,1,21812,h,1,68.7,c,3,39.8,c,3
,65674941,,2022-03-10T05:20:48,,,34.557,mwh,1,1162.759,m3,1,21813,h,1,69.2,c,3,42.9,c,3
,65674941,,2022-03-10T06:00:34,,,34.565,mwh,1,1163.007,m3,1,21814,h,1,70.3,c,3,40.3,c,3
,65674941,,2022-03-10T07:00:41,,,34.575,mwh,1,1163.287,m3,1,21815,h,1,71.2,c,3,36.6,c,3
,65674941,,2022-03-10T08:26:09,,,34.617,mwh,1,1164.399,m3,1,21816,h,1,70.7,c,3,44.9,c,3
,65674941,,2022-03-10T09:22:03,,,34.638,mwh,1,1165.027,m3,1,21817,h,1,70.7,c,3,42.6,c,3
,65674941,,2022-03-10T10:01:53,,,34.653,mwh,1,1165.43,m3,1,21818,h,1,71,c,3,36.6,c,3
,65674941,,2022-03-10T11:01:16,,,34.67,mwh,1,1165.949,m3,1,21819,h,1,68.6,c,3,44.3,c,3
,65674941,,2022-03-10T11:51:40,,,34.684,mwh,1,1166.41,m3,1,21819,h,1,66,c,3,40.2,c,3
,65674941,,2022-03-10T12:52:22,,,34.702,mwh,1,1167.057,m3,1,21820,h,1,64.3,c,3,41,c,3
,65674941,,2022-03-10T13:56:59,,,34.725,mwh,1,1167.697,m3,1,21822,h,1,77,c,3,37.5,c,3
,65674941,,2022-03-10T14:57:38,,,34.738,mwh,1,1168.112,m3,1,21823,h,1,67.2,c,3,40.2,c,3
,65674941,,2022-03-10T16:02:01,,,34.754,mwh,1,1168.561,m3,1,21824,h,1,71.5,c,3,34.3,c,3
,65674941,,2022-03-10T17:21:01,,,34.765,mwh,1,1168.865,m3,1,21825,h,1,68.4,c,3,41.6,c,3
,65674941,,2022-03-10T18:13:05,,,34.769,mwh,1,1169.004,m3,1,21826,h,1,69.3,c,3,45.2,c,3
,65674941,,2022-03-10T18:58:12,,,34.771,mwh,1,1169.077,m3,1,21827,h,1,69.4,c,3,48.7,c,3
,65674941,,2022-03-10T19:47:18,,,34.774,mwh,1,1169.222,m3,1,21827,h,1,68.9,c,3,45.6,c,3
,65674941,,2022-03-10T21:08:03,,,34.781,mwh,1,1169.466,m3,1,21829,h,1,70.2,c,3,40.9,c,3
,65674941,,2022-03-10T21:38:52,,,34.785,mwh,1,1169.575,m3,1,21829,h,1,70.7,c,3,41.2,c,3
,65674941,,2022-03-10T23:21:00,,,34.792,mwh,1,1169.824,m3,1,21830,h,1,69,c,3,42.4,c,3
